2024-01-21 15:25:10,414 INFO    MainThread:7755 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-21 15:25:10,415 INFO    MainThread:7755 [wandb_setup.py:_flush():76] Configure stats pid to 7755
2024-01-21 15:25:10,415 INFO    MainThread:7755 [wandb_setup.py:_flush():76] Loading settings from /Users/ruilu/.config/wandb/settings
2024-01-21 15:25:10,415 INFO    MainThread:7755 [wandb_setup.py:_flush():76] Loading settings from /Users/ruilu/udacity_repo/exercise_4/wandb/settings
2024-01-21 15:25:10,415 INFO    MainThread:7755 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'ruilu', 'project': 'exercise_4'}
2024-01-21 15:25:10,415 INFO    MainThread:7755 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-21 15:25:10,415 WARNING MainThread:7755 [wandb_setup.py:_flush():76] Could not save program above cwd: /Users/ruilu/anaconda3/bin/wandb
2024-01-21 15:25:10,415 INFO    MainThread:7755 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': None, 'program_abspath': '/Users/ruilu/anaconda3/bin/wandb', 'program': '/Users/ruilu/anaconda3/bin/wandb'}
2024-01-21 15:25:10,415 INFO    MainThread:7755 [wandb_init.py:_log_setup():526] Logging user logs to /Users/ruilu/udacity_repo/exercise_4/wandb/run-20240121_152510-43frkgut/logs/debug.log
2024-01-21 15:25:10,415 INFO    MainThread:7755 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/ruilu/udacity_repo/exercise_4/wandb/run-20240121_152510-43frkgut/logs/debug-internal.log
2024-01-21 15:25:10,415 INFO    MainThread:7755 [wandb_init.py:init():566] calling init triggers
2024-01-21 15:25:10,415 INFO    MainThread:7755 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'path': 'genres_mod.parquet'}
2024-01-21 15:25:10,415 INFO    MainThread:7755 [wandb_init.py:init():616] starting backend
2024-01-21 15:25:10,415 INFO    MainThread:7755 [wandb_init.py:init():620] setting up manager
2024-01-21 15:25:10,417 INFO    MainThread:7755 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-01-21 15:25:10,420 INFO    MainThread:7755 [wandb_init.py:init():628] backend started and connected
2024-01-21 15:25:10,425 INFO    MainThread:7755 [wandb_init.py:init():720] updated telemetry
2024-01-21 15:25:10,451 INFO    MainThread:7755 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-21 15:25:10,875 INFO    MainThread:7755 [wandb_run.py:_on_init():2254] communicating current version
2024-01-21 15:25:11,017 INFO    MainThread:7755 [wandb_run.py:_on_init():2263] got version response 
2024-01-21 15:25:11,017 INFO    MainThread:7755 [wandb_init.py:init():804] starting run threads in backend
2024-01-21 15:25:16,684 INFO    MainThread:7755 [wandb_run.py:_console_start():2233] atexit reg
2024-01-21 15:25:16,685 INFO    MainThread:7755 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-21 15:25:16,685 INFO    MainThread:7755 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-21 15:25:16,685 INFO    MainThread:7755 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-21 15:25:16,686 INFO    MainThread:7755 [wandb_init.py:init():847] run started, returning control to user process
2024-01-21 15:25:16,972 INFO    MainThread:7755 [wandb_run.py:_finish():1962] finishing run ruilu/exercise_4/43frkgut
2024-01-21 15:25:16,972 INFO    MainThread:7755 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2024-01-21 15:25:16,972 INFO    MainThread:7755 [wandb_run.py:_restore():2185] restore
2024-01-21 15:25:16,972 INFO    MainThread:7755 [wandb_run.py:_restore():2191] restore done
2024-01-21 15:25:20,302 INFO    MainThread:7755 [wandb_run.py:_footer_history_summary_info():3857] rendering history
2024-01-21 15:25:20,303 INFO    MainThread:7755 [wandb_run.py:_footer_history_summary_info():3889] rendering summary
2024-01-21 15:25:20,304 INFO    MainThread:7755 [wandb_run.py:_footer_sync_info():3816] logging synced files
