2024-01-14 16:26:30,930 INFO    MainThread:23768 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-14 16:26:30,931 INFO    MainThread:23768 [wandb_setup.py:_flush():76] Configure stats pid to 23768
2024-01-14 16:26:30,931 INFO    MainThread:23768 [wandb_setup.py:_flush():76] Loading settings from /Users/ruilu/.config/wandb/settings
2024-01-14 16:26:30,931 INFO    MainThread:23768 [wandb_setup.py:_flush():76] Loading settings from /Users/ruilu/udacity_repo/wandb/settings
2024-01-14 16:26:30,931 INFO    MainThread:23768 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-14 16:26:30,931 INFO    MainThread:23768 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-14 16:26:30,931 INFO    MainThread:23768 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'use_artifact.py', 'program_abspath': '/Users/ruilu/udacity_repo/use_artifact.py', 'program': '/Users/ruilu/udacity_repo/use_artifact.py'}
2024-01-14 16:26:30,931 INFO    MainThread:23768 [wandb_init.py:_log_setup():526] Logging user logs to /Users/ruilu/udacity_repo/wandb/run-20240114_162630-glbupuq8/logs/debug.log
2024-01-14 16:26:30,931 INFO    MainThread:23768 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/ruilu/udacity_repo/wandb/run-20240114_162630-glbupuq8/logs/debug-internal.log
2024-01-14 16:26:30,932 INFO    MainThread:23768 [wandb_init.py:init():566] calling init triggers
2024-01-14 16:26:30,932 INFO    MainThread:23768 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-01-14 16:26:30,932 INFO    MainThread:23768 [wandb_init.py:init():616] starting backend
2024-01-14 16:26:30,932 INFO    MainThread:23768 [wandb_init.py:init():620] setting up manager
2024-01-14 16:26:30,934 INFO    MainThread:23768 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-01-14 16:26:30,937 INFO    MainThread:23768 [wandb_init.py:init():628] backend started and connected
2024-01-14 16:26:30,941 INFO    MainThread:23768 [wandb_init.py:init():720] updated telemetry
2024-01-14 16:26:30,970 INFO    MainThread:23768 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-14 16:26:31,422 INFO    MainThread:23768 [wandb_run.py:_on_init():2254] communicating current version
2024-01-14 16:26:31,580 INFO    MainThread:23768 [wandb_run.py:_on_init():2263] got version response 
2024-01-14 16:26:31,580 INFO    MainThread:23768 [wandb_init.py:init():804] starting run threads in backend
2024-01-14 16:26:35,526 INFO    MainThread:23768 [wandb_run.py:_console_start():2233] atexit reg
2024-01-14 16:26:35,526 INFO    MainThread:23768 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-14 16:26:35,526 INFO    MainThread:23768 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-14 16:26:35,526 INFO    MainThread:23768 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-14 16:26:35,526 INFO    MainThread:23768 [wandb_init.py:init():847] run started, returning control to user process
2024-01-14 16:26:43,012 WARNING MsgRouterThr:23768 [router.py:message_loop():77] message_loop has been closed
